review	aspect	sentiment
tempat yang sakral sekali dibali setelah pura uluwatu.. belum lengkap kebali kalau belum kesini, meski lokasi lumayan jauh tapi lokasi ini pelengkap kalau kebali.. [SEP] sesuatu yang dipakai untuk menaruh (menyimpan, meletakkan, dan sebagainya) [SEP] ruang (bidang, rumah, dan sebagainya) yang tersedia untuk melakukan sesuatu [SEP] ruang (bidang dan sebagainya) yang dipakai untuk menaruh (menyimpan, mengumpulkan, dan sebagainya) [SEP] ruang (bidang, rumah, daerah, dan sebagainya) yang didiami (ditinggali) atau ditempati [SEP] bagian yang tertentu dari suatu ruang (bidang, daerah, dan sebagainya) [SEP] negeri (kota, desa, daerah, dan sebagainya) [SEP] sesuatu yang dapat (dipercaya) menampung (tentang isi hati, keluhan, pertanyaan, dan sebagainya) [SEP] kedudukan	tempat	0
tempat yang sakral sekali dibali setelah pura uluwatu.. belum lengkap kebali kalau belum kesini, meski lokasi lumayan jauh tapi lokasi ini pelengkap kalau kebali.. [SEP] letak [SEP] tempat	lokasi	-1
tempat yang sakral sekali dibali setelah pura uluwatu.. belum lengkap kebali kalau belum kesini, meski lokasi lumayan jauh tapi lokasi ini pelengkap kalau kebali.. [SEP] letak [SEP] tempat	lokasi	1
ini tempat taman wisata air paling lengkap di bali.	taman wisata air	1
ini adalah pengalaman yang luar biasa. hotel murah yang bagus. namun, berhati-hatilah untuk tidak mendapatkan merobek saat membeli pisang s. tidak membayar lebih dari 10, 000 rupiah untuk hanya 5! mereka akan mencoba dan biaya anda 20, 000 rupiah per banana. [SEP] yang pernah dialami (dirasai, dijalani, ditanggung, dan sebagainya)	pengalaman	1
ini adalah pengalaman yang luar biasa. hotel murah yang bagus. namun, berhati-hatilah untuk tidak mendapatkan merobek saat membeli pisang s. tidak membayar lebih dari 10, 000 rupiah untuk hanya 5! mereka akan mencoba dan biaya anda 20, 000 rupiah per banana. [SEP] bangunan berkamar banyak yang disewakan sebagai tempat untuk menginap dan tempat makan orang yang sedang dalam perjalanan	hotel	1
ini adalah pengalaman yang luar biasa. hotel murah yang bagus. namun, berhati-hatilah untuk tidak mendapatkan merobek saat membeli pisang s. tidak membayar lebih dari 10, 000 rupiah untuk hanya 5! mereka akan mencoba dan biaya anda 20, 000 rupiah per banana. [SEP] tanaman jenis Musa, buahnya berdaging dan dapat dimakan, ada bermacam-macam, seperti -- ambon, -- barangan, -- raja, -- raja serai, -- uli [SEP] cari: pisang-pisang [SEP] cari: pisang-pisang [SEP] suku di Provinsi Sumatra Barat	pisang	-1
hutan monyet adalah cara yang mengagumkan untuk melihat monyet di habitat alami, tetapi harap diingat bahwa mereka masih liar. ransel, makanan, botol air, kacamata hitam, topi dll. apakah semua cara untuk mendapatkan perhatian negatif dari monyet dan staf akan menyarankan agar anda melepaskan apa pun yang mereka inginkan atau mereka bisa menjadi agresif. banyak keluarga dengan anak-anak kecil mengunjungi ketika kami berada di sana dan seorang gadis muda diserang oleh satu hanya karena mencoba untuk mendapatkan foto di sebelah satu.	hutan monyet	1
hutan monyet adalah cara yang mengagumkan untuk melihat monyet di habitat alami, tetapi harap diingat bahwa mereka masih liar. ransel, makanan, botol air, kacamata hitam, topi dll. apakah semua cara untuk mendapatkan perhatian negatif dari monyet dan staf akan menyarankan agar anda melepaskan apa pun yang mereka inginkan atau mereka bisa menjadi agresif. banyak keluarga dengan anak-anak kecil mengunjungi ketika kami berada di sana dan seorang gadis muda diserang oleh satu hanya karena mencoba untuk mendapatkan foto di sebelah satu. [SEP] primata yang memiliki ekor, ukuran lengan sama atau lebih pendek daripada ukuran kaki, berjalan dengan menggunakan kedua lengan dan kakinya	monyet	1
hutan monyet adalah cara yang mengagumkan untuk melihat monyet di habitat alami, tetapi harap diingat bahwa mereka masih liar. ransel, makanan, botol air, kacamata hitam, topi dll. apakah semua cara untuk mendapatkan perhatian negatif dari monyet dan staf akan menyarankan agar anda melepaskan apa pun yang mereka inginkan atau mereka bisa menjadi agresif. banyak keluarga dengan anak-anak kecil mengunjungi ketika kami berada di sana dan seorang gadis muda diserang oleh satu hanya karena mencoba untuk mendapatkan foto di sebelah satu. [SEP] menyusun (mengatur, mengarang) baik-baik [SEP] mencari akal (ikhtiar, daya upaya) [SEP] memikirkan (sesuatu) [SEP] membayangkan (dalam angan-angan) [SEP] menduga [SEP] orang ketiga jamak (dia dengan yang lain)	mereka	0
